ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,rent_lag1,rent_lag1_lower,rent_lag1_upper,rent_lag3,rent_lag3_lower,rent_lag3_upper,unemployment_rate,unemployment_rate_lower,unemployment_rate_upper,yearly,yearly_lower,yearly_upper,zorf_growth_pct,zorf_growth_pct_lower,zorf_growth_pct_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-31,991.477225890215,264.98440726449746,524.4349357879679,991.477225890215,991.477225890215,-596.101621785561,-596.101621785561,-596.101621785561,-575.7453522319871,-575.7453522319871,-575.7453522319871,1146.046608246982,1146.046608246982,1146.046608246982,-908.4626958433969,-908.4626958433969,-908.4626958433969,-813.3292646355723,-813.3292646355723,-813.3292646355723,-20.35626955357383,-20.35626955357383,-20.35626955357383,0.0,0.0,0.0,0.0,0.0,0.0,395.37560410465403
2015-02-28,998.2574394932666,284.263795192391,551.4027896120864,998.2574394932666,998.2574394932666,-584.6405282676336,-584.6405282676336,-584.6405282676336,-569.2264508179651,-569.2264508179651,-569.2264508179651,1152.565509661004,1152.565509661004,1152.565509661004,-908.4626958433969,-908.4626958433969,-908.4626958433969,-813.3292646355723,-813.3292646355723,-813.3292646355723,-15.414077449668511,-15.414077449668511,-15.414077449668511,0.0,0.0,0.0,0.0,0.0,0.0,413.616911225633
2015-03-31,1005.764104553788,769.4014924226457,1031.075131554653,1005.764104553788,1005.764104553788,-103.50289404597167,-103.50289404597167,-103.50289404597167,-83.88896401311253,-83.88896401311253,-83.88896401311253,1159.121491657386,1159.121491657386,1159.121491657386,-429.6811910349262,-429.6811910349262,-429.6811910349262,-813.3292646355723,-813.3292646355723,-813.3292646355723,-19.61393003285915,-19.61393003285915,-19.61393003285915,0.0,0.0,0.0,0.0,0.0,0.0,902.2612105078164
2015-04-30,1013.0286191284861,796.0914349238305,1049.853999237282,1013.0286191284861,1013.0286191284861,-97.55152597637013,-97.55152597637013,-97.55152597637013,-79.73978772922145,-79.73978772922145,-79.73978772922145,1165.7147651565733,1165.7147651565733,1165.7147651565733,-432.1252882502226,-432.1252882502226,-432.1252882502226,-813.3292646355723,-813.3292646355723,-813.3292646355723,-17.811738247148696,-17.811738247148696,-17.811738247148696,0.0,0.0,0.0,0.0,0.0,0.0,915.4770931521159
2015-05-31,1020.5352841890076,802.8127066996489,1066.6173505411125,1020.5352841890076,1020.5352841890076,-89.40527338355682,-89.40527338355682,-89.40527338355682,-75.56701024887836,-75.56701024887836,-75.56701024887836,1172.3455422787615,1172.3455422787615,1172.3455422787615,-434.5832878920677,-434.5832878920677,-434.5832878920677,-813.3292646355723,-813.3292646355723,-813.3292646355723,-13.838263134678453,-13.838263134678453,-13.838263134678453,0.0,0.0,0.0,0.0,0.0,0.0,931.1300108054508
2015-06-30,1026.6645911218761,820.7116308290098,1077.168977315946,1026.6645911218761,1026.6645911218761,-79.51489349985886,-79.51489349985886,-79.51489349985886,-71.37049732460058,-71.37049732460058,-71.37049732460058,1179.01403635072,1179.01403635072,1179.01403635072,-437.05526903974834,-437.05526903974834,-437.05526903974834,-813.3292646355723,-813.3292646355723,-813.3292646355723,-8.144396175258274,-8.144396175258274,-8.144396175258274,0.0,0.0,0.0,0.0,0.0,0.0,947.1496976220172
2015-07-31,1032.9982082858405,830.340349820077,1100.196043022061,1032.9982082858405,1032.9982082858405,-66.80918216858964,-66.80918216858964,-66.80918216858964,-67.15011394528253,-67.15011394528253,-67.15011394528253,1185.7204619126567,1185.7204619126567,1185.7204619126567,-439.5413112223669,-439.5413112223669,-439.5413112223669,-813.3292646355723,-813.3292646355723,-813.3292646355723,0.3409317766928892,0.3409317766928892,0.3409317766928892,0.0,0.0,0.0,0.0,0.0,0.0,966.1890261172509
2015-08-31,1039.331825449805,851.192911435046,1122.4038320687596,1039.331825449805,1039.331825449805,-50.9995220043748,-50.9995220043748,-50.9995220043748,-62.90572433185392,-62.90572433185392,-62.90572433185392,1192.4650347251188,1192.4650347251188,1192.4650347251188,-442.0414944214005,-442.0414944214005,-442.0414944214005,-813.3292646355723,-813.3292646355723,-813.3292646355723,11.906202327479114,11.906202327479114,11.906202327479114,0.0,0.0,0.0,0.0,0.0,0.0,988.3323034454301
2015-09-30,1045.4611323826732,870.800378457275,1135.6279797847985,1045.4611323826732,1045.4611323826732,-42.05681908991086,-42.05681908991086,-42.05681908991086,-58.63719193291064,-58.63719193291064,-58.63719193291064,1199.2479717759356,1199.2479717759356,1199.2479717759356,-444.55589907327396,-444.55589907327396,-444.55589907327396,-813.3292646355723,-813.3292646355723,-813.3292646355723,16.58037284299978,16.58037284299978,16.58037284299978,0.0,0.0,0.0,0.0,0.0,0.0,1003.4043132927624
2015-10-31,1050.697325182124,881.9992054265446,1159.5911656271614,1050.697325182124,1050.697325182124,-34.92832342916965,-34.92832342916965,-34.92832342916965,-54.34437942032199,-54.34437942032199,-54.34437942032199,1206.069491287198,1206.069491287198,1206.069491287198,-447.08460607194775,-447.08460607194775,-447.08460607194775,-813.3292646355723,-813.3292646355723,-813.3292646355723,19.41605599115234,19.41605599115234,19.41605599115234,0.0,0.0,0.0,0.0,0.0,0.0,1015.7690017529543
